ed_id,ed_name,county,population_2006,score_2016,decile_2016,population_2011,score_2011,decile_2011,population_2016,score_2016,decile_2016
E02063,Grange E,Dublin City,2662,1.426432377,9,2580,1.221652062,9,2680,1.272269695,9
E02064,Harmonstown A,Dublin City,2823,0.331550899,8,2722,0.440437761,8,2808,0.372747654,8
E02065,Harmonstown B,Dublin City,2636,1.505312134,9,2684,1.144363609,9,2758,1.016932606,9
E02066,Inns Quay A,Dublin City,3715,2.938143264,10,3951,3.566603786,10,3919,3.746204097,10
E02067,Inns Quay B,Dublin City,3113,5.316094976,10,3368,4.43420092,10,3666,4.25292306,10
E02068,Inns Quay C,Dublin City,2672,7.481611263,10,2709,6.063594565,10,2757,6.016027922,10
E02069,Kilmore A,Dublin City,3502,0.748932444,8,3505,0.884240255,8,3660,0.584901581,8
E02070,Kilmore B,Dublin City,2801,4.975808012,10,2600,4.881362448,10,2681,4.897413788,10
E02071,Kilmore C,Dublin City,1458,5.160378123,10,1415,5.456618175,10,1490,6.356714589,10
E02072,Kilmore D,Dublin City,2258,0.262246186,8,2082,0.574596039,8,2032,0.270449749,8
E02073,Mountjoy A,Dublin City,3760,8.74036648,10,5326,6.66053232,10,5389,6.474868268,10
E02074,Mountjoy B,Dublin City,3446,7.212755649,10,2732,6.525937671,10,3963,6.296806323,10
E02075,North City,Dublin City,3867,5.06114553,10,5345,3.22556947,10,5654,3.68410032,10
E02076,North Dock A,Dublin City,1200,1.939805153,9,1303,1.782437336,9,1365,1.793376377,9
E02077,North Dock B,Dublin City,3690,2.812897318,10,6895,1.677829302,9,7695,1.440266723,9
E02078,North Dock C,Dublin City,4179,5.723101134,10,4345,5.13405107,10,4214,4.917875061,10
E02079,Phoenix Park,Dublin City,1568,1.321942398,9,1538,0.966508541,9,1534,1.53014275,9
E02080,Priorswood A,Dublin City,1581,0.999304173,9,1562,1.229615244,9,1618,0.73652374,8
E02081,Priorswood B,Dublin City,2882,9.083805454,10,2673,7.805813963,10,2728,7.869421913,10
E02082,Priorswood C,Dublin City,3557,9.81115198,10,4491,6.747244242,10,4854,7.389533718,10
E02083,Priorswood D,Dublin City,2760,4.561025691,10,2729,5.032764616,10,2756,4.810729649,10
E02084,Priorswood E,Dublin City,2731,1.364058307,9,2821,1.426508568,9,2839,1.441096904,9
E02085,Raheny-Foxfield,Dublin City,2547,-0.466937025,5,2517,-0.816890877,4,2488,-0.659946328,5
E02086,Raheny-Greendale,Dublin City,2283,2.192775975,10,2161,2.033465852,10,2169,1.388635654,9
E02087,Raheny-St. Assam,Dublin City,3301,-1.602952676,1,3501,-2.205399451,1,3672,-1.86502778,1
E02088,Rotunda A,Dublin City,4672,7.076347818,10,4698,5.711299057,10,5965,6.002070546,10
E02089,Rotunda B,Dublin City,2137,5.856823936,10,2439,4.631624869,10,2458,4.56045188,10
E02090,Whitehall A,Dublin City,3959,-0.685182592,5,3545,-1.366473546,2,3286,-1.06988147,3
E02091,Whitehall B,Dublin City,4120,0.570119978,8,3892,-0.063693679,7,4128,0.09766895,7
E02092,Whitehall C,Dublin City,2179,0.125025266,7,2195,-0.256359314,6,2153,0.127416592,7
E02093,Whitehall D,Dublin City,2584,0.769445384,8,2885,-0.354897635,6,3456,-0.009231572,7
E02094,Chapelizod,Dublin City,3034,0.812158922,8,3047,-0.043997312,7,3056,0.121555451,7
E02095,Cherry Orchard A,Dublin City,2861,8.726534111,10,3414,4.775639059,10,3254,5.619609343,10
E02096,Carna,Dublin City,2694,4.230927162,10,2801,4.84767681,10,2836,4.453281315,10
E02097,Cherry Orchard C,Dublin City,3794,8.232282955,10,4551,6.45176595,10,4545,6.031920207,10
E02098,Crumlin A,Dublin City,3784,3.072793904,10,3617,2.749528046,10,3714,2.613653058,10
E02099,Crumlin B,Dublin City,3130,3.144048011,10,2953,3.098579669,10,2968,3.097990116,10
E02100,Crumlin C,Dublin City,2403,2.971067721,10,2264,2.717530868,10,2331,2.777382567,10
E02101,Crumlin D,Dublin City,3994,2.58472493,10,3992,2.469968778,10,4089,2.357981606,10
E02102,Crumlin E,Dublin City,2806,4.56351905,10,2730,4.310223643,10,2793,3.98260465,10
E02103,Crumlin F,Dublin City,3102,1.193161263,9,3025,0.726315016,8,2985,0.651910147,8
E02104,Decies,Dublin City,2840,4.945164991,10,2716,4.72080015,10,2677,4.204428182,10
E02105,Drumfinn,Dublin City,3538,3.922395476,10,3508,4.554475071,10,3588,4.29704807,10
E02106,Inchicore A,Dublin City,1977,2.564994229,10,2196,1.905067422,9,2392,1.608993754,9
E02107,Inchicore B,Dublin City,1831,4.889455741,10,1992,5.072541406,10,2218,4.645241488,10
E02108,Kilmainham A,Dublin City,2422,4.073213931,10,2511,3.884158268,10,2534,3.893967635,10
E02109,Kilmainham B,Dublin City,1682,1.07100246,9,2233,0.384405794,8,2414,0.972459005,9
E02110,Kilmainham C,Dublin City,4250,3.522005967,10,4358,2.410421359,10,5186,2.933388954,10
E02111,Kimmage A,Dublin City,2024,4.463328036,10,1834,4.336935281,10,1944,3.869128235,10
E02112,Kimmage B,Dublin City,3680,3.212142622,10,3485,3.375623088,10,3572,3.273328549,10
E02113,Kimmage C,Dublin City,2898,0.605929618,8,2944,0.332897287,8,3043,0.111347467,7
E02114,Kimmage D,Dublin City,2599,2.113976505,10,2374,2.070894517,10,2462,1.96013264,9
E02115,Kimmage E,Dublin City,3399,1.9015385,9,3236,1.890917707,9,3395,1.721582053,9
E02116,Kylemore,Dublin City,2687,5.165811947,10,2566,5.024615545,10,2657,4.682025892,10
E02117,Mansion House A,Dublin City,4462,6.23613627,10,4347,5.492346681,10,4665,5.755976899,10
E02118,Mansion House B,Dublin City,869,0.841448392,8,1069,-0.479798812,5,1311,-0.166915888,6
E02119,Merchants Quay A,Dublin City,2062,8.503357577,10,2275,6.720787067,10,2513,7.135449981,10
E02120,Merchants Quay B,Dublin City,3901,4.191588706,10,3822,3.469688625,10,3966,3.562299085,10
E02121,Merchants Quay C,Dublin City,2850,6.011139695,10,3480,4.330975435,10,3566,4.679243508,10
E02122,Merchants Quay D,Dublin City,2059,1.074566857,9,2024,0.17290486,7,2185,0.006083934,7
E02123,Merchants Quay E,Dublin City,2369,1.846758973,9,2353,1.076010051,9,2489,1.191249565,9
E02124,Merchants Quay F,Dublin City,2459,6.733001845,10,2405,4.853992337,10,2158,2.912263072,10
E02125,Pembroke East A,Dublin City,4754,3.350243335,10,4929,2.497288186,10,5078,2.550096675,10
E02126,Pembroke East B,Dublin City,3480,-1.1629127,3,3608,-1.908413085,1,3818,-1.596046432,1
E02127,Pembroke East C,Dublin City,3761,-1.848735022,1,4004,-2.356447862,1,3920,-2.211717423,1
E02128,Pembroke East D,Dublin City,4369,-0.094722634,7,4680,-0.600619905,5,5263,-0.685439204,5
E02129,Pembroke East E,Dublin City,3619,-1.407585265,2,3603,-2.153101359,1,3902,-1.81875642,1
E02130,Pembroke West A,Dublin City,4262,0.024605998,7,4673,-0.906257612,3,4992,-0.576091321,5
E02131,Pembroke West B,Dublin City,3306,-0.847423014,4,3174,-1.70242683,1,3003,-1.066558759,3
E02132,Pembroke West C,Dublin City,4279,-0.423253869,6,4355,-0.91540868,3,4852,-0.750054454,4
E02133,Rathfarnham,Dublin City,4847,-1.422401519,2,4546,-2.357010632,1,4683,-1.995635139,1
E02134,Rathmines East A,Dublin City,4241,-0.12609861,7,4634,-0.724000378,4,4836,-0.570743145,5
E02135,Rathmines East B,Dublin City,5376,-1.417554103,2,5533,-2.029079143,1,6058,-1.917069143,1
E02136,Rathmines East C,Dublin City,3400,-1.241035222,2,3347,-2.161995299,1,3351,-1.921621599,1
E02137,Rathmines East D,Dublin City,2738,0.123326105,7,2723,-1.03905081,3,2757,-0.904169639,4
E02138,Rathmines West A,Dublin City,5080,1.994121147,9,5013,1.189818836,9,5461,1.136897587,9
E02139,Rathmines West B,Dublin City,3275,1.798754797,9,3380,1.020592822,9,3713,1.192593216,9
E02140,Rathmines West C,Dublin City,2633,-0.188063243,6,2583,-0.786245062,4,2681,-0.801057247,4
E02141,Rathmines West D,Dublin City,3231,1.39839202,9,2953,0.526562949,8,3106,0.329977472,8
E02142,Rathmines West E,Dublin City,3273,-0.01278774,7,3342,-0.804644163,4,3390,-0.892552177,4
E02143,Rathmines West F,Dublin City,2849,0.35777921,8,2752,-0.202066021,6,2859,-0.1169932,7
E02144,Royal Exchange A,Dublin City,3602,4.73909991,10,4481,3.558479928,10,4329,3.804503924,10
E02145,Royal Exchange B,Dublin City,2020,6.672610531,10,1914,6.380691425,10,2082,6.98610365,10
E02146,St. Kevin's,Dublin City,5206,3.653637673,10,4910,1.83631167,9,5122,1.905250426,9
E02147,South Dock,Dublin City,5123,1.621060529,9,7129,0.711141436,8,7004,1.058860339,9
E02148,Terenure A,Dublin City,3357,-0.212179486,6,3549,-0.667746724,4,3741,-0.838841923,4
E02149,Terenure B,Dublin City,3293,-0.322699964,6,3411,-0.729418999,4,3490,-0.927907124,3
E02150,Terenure C,Dublin City,1780,-2.210584022,1,1880,-2.641992035,1,1854,-2.526393222,1
E02151,Terenure D,Dublin City,807,-2.408577789,1,779,-2.791535314,1,792,-2.441370976,1
E02152,Ushers A,Dublin City,1928,3.476759691,10,3089,1.117800503,9,3930,0.943383507,9
E02153,Ushers B,Dublin City,1255,5.647899035,10,1292,5.386419358,10,1312,5.303336681,10
E02154,Ushers C,Dublin City,3089,7.820125425,10,3730,5.73451597,10,3983,5.248559705,10
E02155,Ushers D,Dublin City,1658,4.701475697,10,2075,3.684114432,10,2188,3.651466659,10
E02156,Ushers E,Dublin City,1934,6.488856502,10,1830,5.702855696,10,1790,5.56489857,10
E02157,Ushers F,Dublin City,3237,1.72674847,9,3381,0.931625651,8,3484,1.010258235,9
E02158,Walkinstown A,Dublin City,1968,1.744668035,9,2619,1.587004153,9,2765,1.514444909,9
E02159,Walkinstown B,Dublin City,1804,0.319965357,8,1830,0.158866799,7,1885,0.057551506,7
E02160,Walkinstown C,Dublin City,2138,0.851283441,8,2113,0.959155899,9,2169,0.705255605,8
E02161,Wood Quay A,Dublin City,2743,7.656486616,10,2669,6.518497704,10,2606,7.322869606,10
E02162,Wood Quay B,Dublin City,3507,2.092688076,10,3482,1.614655271,9,3414,1.448802475,9
E03001,Ballinascorney,South Dublin,742,0.252851901,8,804,0.517238278,8,921,0.193200017,7
E03002,Ballyboden,South Dublin,5200,-2.038276764,1,5085,-2.386908453,1,5028,-2.348915195,1
E03003,Bohernabreena,South Dublin,4272,0.903693619,9,4592,0.454728454,8,4496,-0.164749782,6
E03004,Clondalkin-Ballymount,South Dublin,2047,-0.993617199,3,1915,-0.869832752,4,2047,-1.155935488,2
E03005,Clondalkin-Cappaghmore,South Dublin,1925,6.002716662,10,2605,7.2613562,10,2581,7.780828087,10
E03006,Clondalkin-Dunawley,South Dublin,10873,4.160536001,10,10877,3.994498043,10,11323,3.446598097,10
E03007,Clondalkin-Monastery,South Dublin,10362,0.344120508,8,10904,0.466860783,8,11316,0.3862571,8
E03008,Clondalkin-Moorfield,South Dublin,5966,3.93448957,10,6251,4.166361282,10,6376,3.96062117,10
E03009,Clondalkin-Rowlagh,South Dublin,4187,6.348340859,10,4058,6.300650796,10,4096,5.667418093,10
E03010,Clondalkin Village,South Dublin,8718,0.183703297,7,8492,0.077606512,7,9152,0.073966792,7
E03011,Edmondstown,South Dublin,5656,0.780853295,8,5712,0.500360232,8,5757,0.494620547,8
E03012,Firhouse-Ballycullen,South Dublin,6610,-2.20552234,1,7773,-2.325948418,1,8230,-2.272176463,1
E03013,Firhouse-Knocklyon,South Dublin,4014,-2.11712315,1,3602,-2.518161306,1,3505,-2.457362074,1
E03014,Firhouse Village,South Dublin,10751,-1.340177278,2,11648,-1.436240411,2,12214,-1.225402514,2
E03015,Lucan-Esker,South Dublin,25828,-0.521226047,5,29820,-0.695832687,4,32236,-0.749365929,4
E03016,Lucan Heights,South Dublin,5260,-0.660417281,5,5217,-0.741953293,4,5196,-0.900034677,4
E03017,Lucan-St. Helen's,South Dublin,6592,-0.915905726,4,9450,-0.810178866,4,10658,-0.850718258,4
E03018,Newcastle,South Dublin,2631,-1.300967725,2,3749,-1.26561599,2,4257,-0.958697847,3
E03019,Palmerston Village,South Dublin,3775,-0.580882239,5,3623,-0.710433026,4,3625,-0.59226046,5
E03020,Palmerston West,South Dublin,7719,2.005168889,9,7593,2.051623125,10,7521,2.178168994,10
E03021,Rathcoole,South Dublin,3614,-0.668026979,5,4740,-0.781607129,4,5009,-1.149754036,3
E03022,Rathfarnham-Ballyroan,South Dublin,2494,-1.876760074,1,2493,-2.580708458,1,2612,-2.240802607,1
E03023,Rathfarnham-Butterfield,South Dublin,3286,-1.94606316,1,3206,-2.409966718,1,3288,-2.340042897,1
E03024,Rathfarnham-Hermitage,South Dublin,4610,-2.284382053,1,4604,-2.590602969,1,4602,-2.34115643,1
E03025,Rathfarnham-St. Enda's,South Dublin,3924,-1.475228715,1,3843,-1.814563876,1,3877,-1.768150719,1
E03026,Rathfarnham Village,South Dublin,3038,-2.035417304,1,2993,-2.377423402,1,3099,-2.226455068,1
E03027,Saggart,South Dublin,2020,-0.649309074,5,3060,0.199814506,7,4640,-0.287525263,6
E03028,Tallaght-Avonbeg,South Dublin,1566,3.431872952,10,1613,3.731118901,10,1538,3.657751756,10
E03029,Tallaght-Belgard,South Dublin,1850,-0.022961488,7,1694,-0.381284526,6,1692,-0.447309499,6
E03030,Tallaght-Fettercairn,South Dublin,6600,7.563891799,10,7607,6.770357595,10,8380,6.722735681,10
E03031,Tallaght-Glenview,South Dublin,1242,0.094551492,7,1723,0.460597323,8,1934,0.811276692,8
E03032,Tallaght-Jobstown,South Dublin,13517,3.646890126,10,16630,3.969727151,10,17824,4.022701593,10
E03033,Tallaght-Killinardan,South Dublin,4135,8.064167899,10,3915,7.904629316,10,3958,8.004735203,10
E03034,Tallaght-Kilnamanagh,South Dublin,4945,-0.666404474,5,4452,-0.551806984,5,4386,-0.765290212,4
E03035,Tallaght-Kiltipper,South Dublin,6426,2.656342809,10,8068,3.186789124,10,8478,3.014602887,10
E03036,Tallaght-Kingswood,South Dublin,3959,-0.154869543,6,3974,0.027893212,7,3996,-0.099893168,7
E03037,Tallaght-Millbrook,South Dublin,3551,0.33222833,8,3290,0.222171217,7,3386,0.192703084,7
E03038,Tallaght-Oldbawn,South Dublin,4367,-0.49162351,5,4527,0.118410565,7,4579,-0.100963068,7
E03039,Tallaght-Springfield,South Dublin,7876,2.104402598,10,9123,1.915544025,9,11012,2.142384026,10
E03040,Tallaght-Tymon,South Dublin,5133,2.343593841,10,4888,2.605047492,10,4956,2.401463734,10
E03041,Templeogue-Cypress,South Dublin,2949,-2.191111731,1,2800,-2.640147483,1,2714,-2.39441893,1
E03042,Templeogue-Kimmage Manor,South Dublin,4267,-2.024093848,1,4637,-2.560302172,1,4856,-2.328698811,1
E03043,Templeogue-Limekiln,South Dublin,3658,-0.717688916,4,3501,-0.92711595,3,3449,-0.716962752,4
E03044,Templeogue-Orwell,South Dublin,2308,-2.082030587,1,2138,-2.681175536,1,2056,-2.264715048,1
E03045,Templeogue-Osprey,South Dublin,2560,-1.840002623,1,2334,-2.109751268,1,2246,-1.899406034,1
E03046,Templeogue Village,South Dublin,1957,-2.17224162,1,1994,-2.566045629,1,2074,-2.283474442,1
E03047,Terenure-Cherryfield,South Dublin,2247,-0.353599458,6,2174,-0.328805917,6,2151,-0.293891887,6
E03048,Terenure-Greentrees,South Dublin,2886,-1.344574357,2,2791,-1.598968832,1,2872,-1.339825935,2
E03049,Terenure-St. James,South Dublin,2822,-0.638066747,5,2623,-0.626073592,5,2568,-0.365038323,6
E04001,Airport,Fingal,1611,0.120658083,7,4032,0.374035461,8,5018,0.452652711,8
E04002,Balbriggan Rural,Fingal,9615,0.891312985,9,15140,1.297036557,9,16495,1.402206834,9
E04003,Balbriggan Urban,Fingal,6731,1.097385822,9,7555,1.456370338,9,8116,1.33239352,9
E04004,Baldoyle,Fingal,5942,-0.428042398,6,7050,-0.775063245,4,7524,-0.573022033,5
